Month,Revenue_Base,Revenue_Low,Revenue_High,COGS_Base,COGS_Low,COGS_High,Operating_Expenses,EBITDA_Base,EBITDA_Low,EBITDA_High,Tax_Base,Tax_Low,Tax_High,Net_Profit_Base,Net_Profit_Low,Net_Profit_High,Cumulative_Base,Cumulative_Low,Cumulative_High
Startup,0,0,0,0,0,0,0,0,0,0,0,0,0,-12000000,-12000000,-12000000,-12000000,-12000000,-12000000
Month 1,1740000,=B3*0.8,=B3*1.2,=B3*0.15,=C3*0.15,=D3*0.15,2450000,=B3-E3-H3,=C3-F3-H3,=D3-G3-H3,=IF(I3>0,I3*0.2,0),=IF(J3>0,J3*0.2,0),=IF(K3>0,K3*0.2,0),=I3-L3,=J3-M3,=K3-N3,=R2+O3,=S2+P3,=T2+Q3
Month 2,2610000,=B4*0.8,=B4*1.2,=B4*0.15,=C4*0.15,=D4*0.15,2450000,=B4-E4-H4,=C4-F4-H4,=D4-G4-H4,=IF(I4>0,I4*0.2,0),=IF(J4>0,J4*0.2,0),=IF(K4>0,K4*0.2,0),=I4-L4,=J4-M4,=K4-N4,=R3+O4,=S3+P4,=T3+Q4
Month 3,3480000,=B5*0.8,=B5*1.2,=B5*0.15,=C5*0.15,=D5*0.15,2450000,=B5-E5-H5,=C5-F5-H5,=D5-G5-H5,=IF(I5>0,I5*0.2,0),=IF(J5>0,J5*0.2,0),=IF(K5>0,K5*0.2,0),=I5-L5,=J5-M5,=K5-N5,=R4+O5,=S4+P5,=T4+Q5
Month 4,4350000,=B6*0.8,=B6*1.2,=B6*0.15,=C6*0.15,=D6*0.15,2450000,=B6-E6-H6,=C6-F6-H6,=D6-G6-H6,=IF(I6>0,I6*0.2,0),=IF(J6>0,J6*0.2,0),=IF(K6>0,K6*0.2,0),=I6-L6,=J6-M6,=K6-N6,=R5+O6,=S5+P6,=T5+Q6
Month 5,4350000,=B7*0.8,=B7*1.2,=B7*0.15,=C7*0.15,=D7*0.15,2450000,=B7-E7-H7,=C7-F7-H7,=D7-G7-H7,=IF(I7>0,I7*0.2,0),=IF(J7>0,J7*0.2,0),=IF(K7>0,K7*0.2,0),=I7-L7,=J7-M7,=K7-N7,=R6+O7,=S6+P7,=T6+Q7
Month 6,4350000,=B8*0.8,=B8*1.2,=B8*0.15,=C8*0.15,=D8*0.15,2450000,=B8-E8-H8,=C8-F8-H8,=D8-G8-H8,=IF(I8>0,I8*0.2,0),=IF(J8>0,J8*0.2,0),=IF(K8>0,K8*0.2,0),=I8-L8,=J8-M8,=K8-N8,=R7+O8,=S7+P8,=T7+Q8
Month 7,4350000,=B9*0.8,=B9*1.2,=B9*0.15,=C9*0.15,=D9*0.15,2450000,=B9-E9-H9,=C9-F9-H9,=D9-G9-H9,=IF(I9>0,I9*0.2,0),=IF(J9>0,J9*0.2,0),=IF(K9>0,K9*0.2,0),=I9-L9,=J9-M9,=K9-N9,=R8+O9,=S8+P9,=T8+Q9
Month 8,4350000,=B10*0.8,=B10*1.2,=B10*0.15,=C10*0.15,=D10*0.15,2450000,=B10-E10-H10,=C10-F10-H10,=D10-G10-H10,=IF(I10>0,I10*0.2,0),=IF(J10>0,J10*0.2,0),=IF(K10>0,K10*0.2,0),=I10-L10,=J10-M10,=K10-N10,=R9+O10,=S9+P10,=T9+Q10
Month 9,4350000,=B11*0.8,=B11*1.2,=B11*0.15,=C11*0.15,=D11*0.15,2450000,=B11-E11-H11,=C11-F11-H11,=D11-G11-H11,=IF(I11>0,I11*0.2,0),=IF(J11>0,J11*0.2,0),=IF(K11>0,K11*0.2,0),=I11-L11,=J11-M11,=K11-N11,=R10+O11,=S10+P11,=T10+Q11
Month 10,4350000,=B12*0.8,=B12*1.2,=B12*0.15,=C12*0.15,=D12*0.15,2450000,=B12-E12-H12,=C12-F12-H12,=D12-G12-H12,=IF(I12>0,I12*0.2,0),=IF(J12>0,J12*0.2,0),=IF(K12>0,K12*0.2,0),=I12-L12,=J12-M12,=K12-N12,=R11+O12,=S11+P12,=T11+Q12
